"return_date","product_id","store_id","quantity"
"1/1/2019",250,6,1
"1/1/2019",628,6,1
"1/1/2019",869,6,1
"1/2/2019",469,11,1
"1/2/2019",532,23,2
"1/2/2019",742,23,1
"1/2/2019",761,11,1
"1/2/2019",1396,11,1
"1/3/2019",1,7,1
"1/3/2019",365,7,2
"1/3/2019",385,7,1
"1/3/2019",671,7,1
"1/3/2019",1329,23,2
"1/5/2019",70,15,1
"1/5/2019",461,7,1
"1/5/2019",469,23,1
"1/5/2019",850,7,1
"1/5/2019",927,7,1
"1/5/2019",961,23,1
"1/5/2019",987,23,1
"1/5/2019",1117,23,1
"1/5/2019",1292,15,1
"1/5/2019",1458,23,1
"1/6/2019",23,24,1
"1/6/2019",40,24,2
"1/6/2019",43,6,1
"1/6/2019",85,24,1
"1/6/2019",193,24,1
"1/6/2019",464,3,1
"1/6/2019",918,3,1
"1/6/2019",1104,24,2
"1/6/2019",1296,3,1
"1/7/2019",310,13,1
"1/7/2019",418,13,1
"1/7/2019",599,13,1
"1/7/2019",638,13,1
"1/7/2019",1078,13,1
"1/7/2019",1152,13,2
"1/7/2019",1257,11,1
"1/9/2019",132,23,1
"1/9/2019",254,3,1
"1/9/2019",290,3,1
"1/9/2019",568,23,1
"1/9/2019",1081,3,2
"1/9/2019",1164,3,1
"1/9/2019",1230,3,1
"1/9/2019",1371,23,1
"1/10/2019",12,24,2
"1/10/2019",238,24,1
"1/10/2019",358,24,1
"1/10/2019",964,24,1
"1/11/2019",75,13,1
"1/11/2019",107,13,1
"1/11/2019",188,13,2
"1/11/2019",189,13,1
"1/11/2019",229,13,2
"1/11/2019",391,13,1
"1/11/2019",412,24,2
"1/11/2019",475,13,1
"1/11/2019",484,6,1
"1/11/2019",569,13,1
"1/11/2019",590,13,1
"1/11/2019",594,17,2
"1/11/2019",669,17,2
"1/11/2019",804,13,1
"1/11/2019",915,24,1
"1/11/2019",950,6,1
"1/11/2019",959,13,1
"1/11/2019",992,13,1
"1/11/2019",1046,13,1
"1/11/2019",1049,13,1
"1/11/2019",1063,13,1
"1/11/2019",1226,13,1
"1/11/2019",1319,13,1
"1/11/2019",1327,24,1
"1/11/2019",1393,13,1
"1/11/2019",1404,13,1
"1/11/2019",1445,13,1
"1/12/2019",361,7,1
"1/12/2019",726,7,1
"1/13/2019",466,17,1
"1/13/2019",551,17,1
"1/13/2019",592,17,1
"1/13/2019",895,17,1
"1/13/2019",982,17,1
"1/13/2019",1107,15,2
"1/13/2019",1291,3,1
"1/13/2019",1523,15,2
"1/13/2019",1531,17,1
"1/14/2019",439,6,1
"1/14/2019",1098,6,2
"1/15/2019",366,24,1
"1/15/2019",603,24,1
"1/15/2019",879,24,1
"1/15/2019",1162,24,1
"1/15/2019",1179,24,1
"1/16/2019",391,17,1
"1/16/2019",551,17,2
"1/16/2019",760,17,2
"1/16/2019",1043,17,1
"1/16/2019",1398,17,1
"1/16/2019",1439,17,1
"1/17/2019",17,6,1
"1/17/2019",176,11,1
"1/17/2019",194,6,2
"1/17/2019",320,24,1
"1/17/2019",598,24,2
"1/17/2019",865,24,1
"1/17/2019",952,11,2
"1/17/2019",954,24,2
"1/17/2019",1004,11,1
"1/17/2019",1271,24,1
"1/18/2019",13,15,1
"1/18/2019",139,15,1
"1/18/2019",360,15,1
"1/18/2019",537,15,1
"1/19/2019",167,7,1
"1/19/2019",434,16,1
"1/19/2019",455,7,1
"1/19/2019",497,7,1
"1/19/2019",1051,16,1
"1/19/2019",1337,7,1
"1/19/2019",1463,7,1
"1/19/2019",1496,16,2
"1/19/2019",1542,7,1
"1/20/2019",93,11,1
"1/20/2019",100,13,1
"1/20/2019",197,16,1
"1/20/2019",271,13,1
"1/20/2019",443,7,1
"1/20/2019",563,16,1
"1/20/2019",683,11,1
"1/20/2019",784,13,1
"1/20/2019",860,11,1
"1/20/2019",894,7,1
"1/20/2019",1038,11,1
"1/20/2019",1045,16,2
"1/20/2019",1053,16,1
"1/20/2019",1212,11,1
"1/20/2019",1218,13,1
"1/20/2019",1220,13,1
"1/20/2019",1355,16,1
"1/20/2019",1357,13,2
"1/20/2019",1402,13,1
"1/20/2019",1556,16,1
"1/21/2019",259,3,1
"1/21/2019",360,16,1
"1/21/2019",486,16,1
"1/21/2019",520,3,2
"1/21/2019",651,13,1
"1/21/2019",851,13,1
"1/21/2019",921,13,1
"1/21/2019",952,13,1
"1/21/2019",1169,3,1
"1/21/2019",1452,16,1
"1/21/2019",1481,3,2
"1/23/2019",179,13,1
"1/23/2019",328,13,1
"1/23/2019",688,13,1
"1/23/2019",1432,13,2
"1/23/2019",1549,13,1
"1/25/2019",222,15,1
"1/25/2019",324,16,1
"1/25/2019",358,23,1
"1/25/2019",375,16,1
"1/25/2019",810,15,1
"1/25/2019",814,15,2
"1/25/2019",990,23,1
"1/25/2019",1147,3,2
"1/25/2019",1295,15,2
"1/26/2019",43,17,1
"1/26/2019",603,17,1
"1/26/2019",1013,17,1
"1/26/2019",1185,17,1
"1/26/2019",1273,17,2
"1/26/2019",1397,17,1
"1/26/2019",1428,17,1
"1/27/2019",393,15,1
"1/27/2019",530,15,1
"1/27/2019",623,15,2
"1/28/2019",231,11,1
"1/29/2019",501,17,1
"1/29/2019",755,17,1
"1/29/2019",936,17,1
"1/29/2019",1161,17,1
"1/29/2019",1293,17,2
"1/29/2019",1526,17,1
"2/1/2019",302,3,1
"2/1/2019",663,3,1
